browser_process_name,browser_object_path,isAllowed
"*Sputnik.exe","*Sputnik\Sputnik\User Data\Default\Login Data*", true
"*ChromePlus.exe","*MapleStudio\ChromePlus\User Data\Default\Login Data*", true
"*QIP Surf.exe","*QIP Surf\User Data\Default\Login Data*", true
"*BlackHawk.exe","*BlackHawk\User Data\Default\Login Data*", true
"*7Star.exe","*7Star\7Star\User Data\Default\Login Data*", true
"*Sleipnir5.exe","*Fenrir Inc\Sleipnir5\setting\modules\ChromiumViewer\Default\Login Data*", true
"*Citrio.exe","*CatalinaGroup\Citrio\User Data\Default\Login Data*", true
"*Chrome SxS.exe","*Google\Chrome SxS\User Data\Default\Login Data*", true
"*Chrome.exe","*Google\Chrome\User Data\Default\Login Data*", true
"*Coowon.exe","*Coowon\Coowon\User Data\Default\Login Data*", true
"*CocCocBrowser.exe","*CocCoc\Browser\User Data\Default\Login Data*", true
"*Uran.exe","*uCozMedia\Uran\User Data\Default\Login Data*", true
"*QQBrowser.exe","*Tencent\QQBrowser\User Data\Default\Login Data*", true
"*Orbitum.exe","*Orbitum\User Data\Default\Login Data*", true
"*Slimjet.exe","*Slimjet\User Data\Default\Login Data*", true
"*Iridium.exe","*Iridium\User Data\Default\Login Data*", true
"*Vivaldi.exe","*Vivaldi\User Data\Default\Login Data*", true
"*Chromium.exe","*Chromium\User Data\Default\Login Data*", true
"*GhostBrowser.exe","*GhostBrowser\User Data\Default\Login Data*", true
"*CentBrowser.exe","*CentBrowser\User Data\Default\Login Data*", true
"*Xvast.exe","*Xvast\User Data\Default\Login Data*", true
"*Chedot.exe","*Chedot\User Data\Default\Login Data*", true
"*SuperBird.exe","*SuperBird\User Data\Default\Login Data*", true
"*360Browser.exe","*360Browser\Browser\User Data\Default\Login Data*", true
"*360Chrome.exe","*360Chrome\Chrome\User Data\Default\Login Data*", true
"*dragon.exe","*Comodo\Dragon\User Data\Default\Login Data*", true
"*brave.exe","*BraveSoftware\Brave-Browser\User Data\Default\Login Data*", true
"*brave.exe","*BraveSoftware\Brave-Browser\User Data\Local State*", true
"*brave.exe","*BraveSoftware\Brave-Browser\User Data\Default*", true
"*torch.exe","*Torch\User Data\Default\Login Data*", true
"*UCBrowser.exe","*UCBrowser\User Data_i18n\Default\UC Login Data.18*", true
"*BliskBrowser.exe","*Blisk\User Data\Default\Login Data*", true
"*Epic Privacy Browser.exe","*Epic Privacy Browser\User Data\Default\Login Data*", true
"*nichrome.exe","*Nichrome\User Data\Default\Login Data*", true
"*AmigoBrowser.exe","*Amigo\User Data\Default\Login Data*", true
"*KometaBrowser.exe","*Kometa\User Data\Default\Login Data*", true
"*XpomBrowser.exe","*Xpom\User Data\Default\Login Data*", true
"*msedge.exe","*Microsoft\Edge\User Data\Default\Login Data*", true
"*LiebaoBrowser.exe","*Liebao7\User Data\Default\EncryptedStorage*", true
"*AvastBrowser.exe","*AVAST Software\Browser\User Data\Default\Login Data*", true
"*Kinza.exe","*Kinza\User Data\Default\Login Data*", true
"*seamonkey.exe","*Mozilla\SeaMonkey\Profiles\logins.json*", true
"*icedragon.exe","*Comodo\IceDragon\Profiles\logins.json*", true
"*cyberfox.exe","*8pecxstudios\Cyberfox\Profiles\logins.json*", true
"*SlimBrowser.exe","*FlashPeak\SlimBrowser\Profiles\logins.json*", true
"*palemoon.exe","*Moonchild Productions\Pale Moon\Profiles\logins.json*", true